Non interactive case, rho_max = 1O

n	Op. time (s)	Arma. time (s)	relative diff.		Iterations
20	0.002172	4.3e-05		1.6947			368
50	0.082457	0.000274	2.4770			3541
75	0.426895	0.000635	2.8269			8336
100	1.23731		0.001431	2.9363			15266
125	2.93968		0.002005	3.1659			24154
150	6.35067		0.003189	3.2989			35292
175	11.3994		0.003991	3.4556			47976
200	19.9403		0.004965	3.6037			63330
250	50.1474		0.008647	3.7633			99592
300	98.5515		0.014181	3.8419			144785		
400	313.938		0.023384	4.1279			258845
500	807.721		0.040245	4.3025			407249
